Date,Average_Doses
42052 ,  199.51529411764705882352941176
42035 ,  202.31483870967741935483870968
42004 ,  201.62425806451612903225806452
41973 ,  236.732
41943 ,  241.18038709677419354838709677
41912 ,  255.6168
41882 ,  259.58529032258064516129032258
41851 ,  252.98219354838709677419354839
41820 ,  249.88986666666666666666666667
41790 ,  319.72129032258064516129032258
41759 ,  242.14453333333333333333333333
41729 ,  249.322
41698 ,  195.16085714285714285714285714
41670 ,  242.15690322580645161290322581
41639 ,  253.42735483870967741935483871
41608 ,  266.18293333333333333333333333
41578 ,  273.58864516129032258064516129
41547 ,  281.2528
41517 ,  269.22890322580645161290322581
41486 ,  224.96432432432432432432432432
41455 ,  231.1856
41425 ,  250.23561290322580645161290323
41394 ,  255.6112
41364 ,  268.28224
41333 ,  243.18342857142857142857142857
41305 ,  275.33161290322580645161290323
41274 ,  292.61729032258064516129032258
41243 ,  240.05626666666666666666666667
41213 ,  267.096
41182 ,  310.04382608695652173913043478
41152 ,  269.58503225806451612903225806
41121 ,  261.18167741935483870967741935
41090 ,  254.58693333333333333333333333
41060 ,  240.04464516129032258064516129
41029 ,  179.54506666666666666666666667
40999 ,  166.12206451612903225806451613
40968 ,  209.5467586206896551724137931
40939 ,  214.50425806451612903225806452
40908 ,  211.11509677419354838709677419
40877 ,  183.05493333333333333333333333
40847 ,  182.58090322580645161290322581
40816 ,  227.80746666666666666666666667
40786 ,  249.49238709677419354838709677
40755 ,  186.35458064516129032258064516
40724 ,  185.66506666666666666666666667
40694 ,  172.22632258064516129032258065
40663 ,  176.42613333333333333333333333
40633 ,  42.670709677419354838709677419
40602 ,  154.21342857142857142857142857
40574 ,  147.21393548387096774193548387
40543 ,  175.00232258064516129032258065
40512 ,  195.01653333333333333333333333
40482 ,  219.12103225806451612903225806
40451 ,  170.22266666666666666666666667
40421 ,  219.50916129032258064516129032
40390 ,  232.55741935483870967741935484
40359 ,  156.876
40329 ,  188.5664516129032258064516129
40298 ,  201.92026666666666666666666667
40268 ,  259.84335483870967741935483871
40237 ,  182.09114285714285714285714286
40209 ,  202.92206451612903225806451613
40178 ,  200.49729032258064516129032258
40147 ,  202.93973333333333333333333333
40117 ,  161.21419354838709677419354839
40086 ,  188.47093333333333333333333333
40056 ,  233.14451612903225806451612903
40025 ,  236.38529032258064516129032258
39994 ,  240.47866666666666666666666667
39964 ,  236.44490322580645161290322581
39933 ,  206.92666666666666666666666667
39903 ,  202.21677419354838709677419355
39872 ,  176.56942857142857142857142857
39844 ,  216.70451612903225806451612903
39813 ,  189.57935483870967741935483871
39782 ,  165.93626666666666666666666667
39752 ,  161.82425806451612903225806452
39721 ,  272.16586666666666666666666667
39691 ,  246.46709677419354838709677419
39660 ,  151.13703225806451612903225806
39629 ,  178.82270967741935483870967742
39599 ,  186.39561290322580645161290323
39568 ,  140.03573333333333333333333333
39538 ,  204.528
39507 ,  167.94151724137931034482758621
39478 ,  225.00722580645161290322580645
39447 ,  192.47870967741935483870967742
39416 ,  186.8928
39386 ,  185.95509677419354838709677419
39355 ,  184.92826666666666666666666667
39325 ,  145.64206451612903225806451613
39294 ,  138.47458064516129032258064516
39263 ,  167.022
38978 ,  0.0364444444444444444444444444
38960 ,  0.4361290322580645161290322581
38929 ,  80.47019354838709677419354839
38898 ,  84.2072
38868 ,  90.06193548387096774193548387
38837 ,  96.94213333333333333333333333
38807 ,  77.609548387096774193548387097
38776 ,  96.68514285714285714285714286
38748 ,  104.7615483870967741935483871
38717 ,  100.57367741935483870967741935
38686 ,  120.5528
38656 ,  134.6064516129032258064516129
38625 ,  85.92773333333333333333333333
38595 ,  135.09470967741935483870967742
38564 ,  87.70296774193548387096774194
38533 ,  124.75973333333333333333333333
38503 ,  133.61883870967741935483870968
38472 ,  143.09653333333333333333333333
38442 ,  177.60593548387096774193548387
38411 ,  147.94942857142857142857142857
38383 ,  145.4144516129032258064516129
38352 ,  149.29135483870967741935483871
38321 ,  105.55253333333333333333333333
38291 ,  96.81058064516129032258064516
38260 ,  99.20186666666666666666666667
38230 ,  76.085161290322580645161290323
38199 ,  112.912
38168 ,  110.09893333333333333333333333
38138 ,  89.11664516129032258064516129
38107 ,  92.93013333333333333333333333
38077 ,  104.24541935483870967741935484
38046 ,  172.76715789473684210526315789
37576 ,  136.9745
37560 ,  145.947
37389 ,  283.02338461538461538461538462
37376 ,  180.86293333333333333333333333
37346 ,  155.81866666666666666666666667
37315 ,  124.8928
37259 ,  202.52266666666666666666666667
37256 ,  248.51741935483870967741935484
37225 ,  313.1264
37195 ,  205.17446153846153846153846154
37164 ,  274.27972413793103448275862069
37134 ,  260.29058064516129032258064516
37103 ,  218.56258064516129032258064516
37072 ,  200.1312
37042 ,  165.94620689655172413793103448
37011 ,  262.74568421052631578947368421
36978 ,  189.35885714285714285714285714
36950 ,  201.38228571428571428571428571
36922 ,  202.27690322580645161290322581
36891 ,  206.46219354838709677419354839
36860 ,  415.49381818181818181818181818
